Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ให้ขับรถเเซงคันอื่นได้เลย ในเขตที่มีเครื่องหมายนี้,ให้ทางเเก่รถคันอื่นก่อน ในเขตที่มีเครื่องหมายนี้,ให้หยุดรถก่อน ในเขตที่มีเครื่องหมายนี้,ห้ามขับรถเเซงขึ้นหน้ารถคันอื่น ในเขตทางที่ติดตั้งป้าย,Data41,4
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ห้ามขับรถทุกชนิดเข้าไปในทิศทางที่ติดตั้งป้าย,ให้คนเดินเข้าไป ในเขตที่ติดตั้งป้าย,ให้เฉพาะรถเก๋งเข้าไป ในเขตที่ติดตั้งป้าย,ให้รถเข้าไปได้ ในเขตที่ติดตั้งป้าย,Data42,1
เครื่องหมายนี้ คือเครื่องหมายอะไร,ห้ามกลับรถไปทางขวา,ห้ามกลับรถไปทางซ้าย,ให้กลับรถไปทางซ้าย,ให้กลับรถไปทางขวา,Data43,1
เครื่องหมายนี้ คือเครื่องหมายอะไร,ให้กลับรถไปทางซ้าย,ห้ามกลับรถไปทางขวา,ห้ามกลับรถไปทางซ้าย,ให้กลับรถไปทางขวา,Data44,3
เครื่องหมายนี้ คือเครื่องหมายอะไร,ให้กลับรถไปทางซ้าย,ให้กลับรถไปทางขวา,ห้ามเลี้ยวซ้าย,ห้ามกลับรถไปทางซ้าย,Data45,3
เครื่องหมายนี้ คือเครื่องหมายอะไร,ให้กลับรถไปทางซ้าย,ให้กลับรถไปทางขวา,ห้ามกลับรถไปทางซ้าย,ห้ามเลี้ยวขวา,Data46,4
เครื่องหมายนี้ คือเครื่องหมายอะไร,ห้ามเปลี่ยนช่องเดินรถไปทางขวา,ให้เปลี่ยนช่องเดินรถไปทางขวา,ห้ามเปลี่ยนช่องเดินรถไปทางซ้าย,ให้เปลี่ยนช่องเดินรถไปทางซ้าย,Data47,1
เครื่องหมายนี้ คือเครื่องหมายอะไร,ห้ามเลี้ยวขวาหรือกลับรถ,ให้เลี้ยวซ้ายหรือกลับรถ,ให้เลี้ยวขวาหรือกลับรถ,ห้ามเลี้ยวซ้ายหรือกลับรถ,Data48,1
เครื่องหมายนี้ หมายความอย่างไร,ให้รถยนต์ทุกชนิดผ่านเข้าไปในเขตที่ ติดตั้งป้าย,ห้ามรถยนต์ทุกชนิดผ่านเข้าไปในเขตที่ติดตั้งป้าย,ห้ามเฉพาะรถยนต์ผ่านเข้าไปในเขตที่ติดตั้งป้าย,ให้รถยนต์จอด เเละหยุดรับ-ส่งได้ในเขตที่ติดตั้งป้าย,Data49,2
เครื่องหมายนี้ หมายความอย่างไร,ห้ามรถบรรทุกทุกชนิดผ่านเข้าออกในเขต ทางที่ติดตั้งป้าย,ให้รถบรรทุกผ่านเข้าไปในเขตที่ติดตั้งป้าย,ห้ามรถยนต์ทุกชนิดผ่านเข้าไปในเขตที่ติดตั้งป้าย,ให้รถยนต์ทุกชนิดผ่านเข้าไปในเขตที่ติดตั้งป้าย,Data410,1
