Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
การขับรถขณะฝนตกข้อใดที่ผู้ขับขี่ไม่ควรปฏิบัติ,เปิดไฟฉุกเฉินตลอดเส้นทาง,เปิดที่ปัดน้ำฝน,ใช้ความระมัดระวังเพิ่มมากขึ้น,ลดความเร็วของรถลงกว่าปกติ,-,1
เมื่อเกิดรถเสียควรปฏิบัติอย่างไร,จอดรถทิ้งไว้กลางถนน,นำกิ่งไม้วางไว้ท้ายรถ,เผาป่าข้างทางหากเป็นกลางคืน,นำรถจอดเข้าข้างทาง หรือ เปิดไฟฉุกเฉิน,-,4
สัญญาณไฟเตือนบนแผงหน้าปัดรถสีใดที่ ไม่ควรปรากฎขณะขับรถ,สีแดง,สีเขียว,สีเหลือง,สีฟ้า,-,1
การจับพวงมาลัยนิ้วมือควรอยู่ในลักษณะใด,นิ้วมือทั้งห้าจับพวงมาลัยให้กระชับ สามารถหมุนได้คล่องตัว,นิ้วมือทั้งห้ากำพวงมาลัยให้แน่นที่สุด,นิ้วมือทั้งห้าแตะที่พวงมาลัยสามารถหมุน พวงมาลัยด้วยมือข้างเดียว,ใช้นิ้วหัวแม่มือและนิ้วชี้จับพวงมาลัยเพียงสองนิ้ว,-,1
เมื่อผู้ขับขี่ขับรถเสียหลักบนถนนเปียกลื่นควรปฏิบัติอย่างไร,เหยียบเบรกทันทีแล้วค่อยๆออกตัวเร่งความเร็วใหม่,ถอนคันเร่ง เหยียบเบรกเพื่อใช้เกียร์ต่ำ,ถอนคันเร่ง จับพวงมาลัยให้มั่นประคองรถต่อไป,ตั้งสติให้มั่น จับพวงมาลัยให้ดี เร่งความเร็วหนีให้พ้นไป,-,4
ขณะขับรถขึ้นทางลาดชันถ้าเครื่องยนต์ดับควรปฏิบัติอย่างไร,เหยียบเบรก ดึงเบรกมือ เข้าเกียร์ว่าง และ ติดเครื่องใหม่,เหยียบเบรก ดึงเบรกมือ และ ติดเครื่องใหม่,เปลี่ยนเป็นเกียร์ต่ำ ดึงเบรกมือ และติดเครื่องใหม่,ปล่อยให้รถไหลไป แล้วค่อยประคองรถ,-,1
ขณะขับรถถ้ากระจกบังลมหน้ารถแตกร้าวควรปฏิบัติอย่างไร,ตั้งสติ ลดความเร็ว จอดรถข้างทาง เปิดไฟฉุกเฉิน,ตั้งสติ เปีดไฟฉุกเฉิน และขับรถต่อไป,ตั้งสติ เปีดไฟฉุกเฉิน และหยุดรถทันที,ตั้งสติ จอดรถข้างทาง,-,1
เพื่อความปลอดภัยในการขับรถช่วงฤดูฝนควรตรวจสอบ อุปกรณ์ส่วนกวบสิ่งใดของรถก่อนเป็นลำดับแรก,ที่ปัดน้ำฝน,น้ำในหม้อน้ำ,น้ำกลั่นแบตเตอรี่,ตรวจเช็คประตูหน้าต่างรถ,-,1
ข้อใดเปิดไฟหน้ารถไม่ถูกต้อง,เมื่อไม่สามารถมองเห็นทางข้างหน้าใน ระยะต่ำกว่า 150 เมตร,เมื่อต้องเร่งรีบไปทำงาน,เมื่อฝนตกหนัก,เมื่อมีควันไฟปกคลุมถนน,-,2
ในขณะที่ขับรถอยู่ มีกลิ่นเหม็นไหม้ แอร์เริ่มไม่เย็น เครื่องยนต์เร่งไม่ขึ้น ควรปฏิบัติอย่างไร,ขับต่อไปเรื่อยๆ,ลดความเร็วลงแล้วขับต่อไป,หยุดรถทันทีกลางถนนห้ามเคลื่อนย้าย,จอดรถในที่ปลอดภัยแล้วเรียกช่างมาตรวจเช็ค,-,4
การหยุดรถบนทางลาดชันควรปฏิบัติตามลำดับอย่างไรจึงจะปลอดภัย,เหยียบกลัทช์ เหยียบเบรก ดึงเบรกมือ และปลดเกียร์ว่าง,เหยียบคลัทช์ เหยียบเบรก ปลดเกียร์ว่าง,เหยียบคลัทช์ เหยียบเบรก ดึงเบรกมือ,เหยียบเบรกแล้วดึงเบรกมือ,-,1
การหมุนพวงมาลัยรถขณะจอดรถอยู่กับที่จะมีผลอย่างไร,ทำให้หมุนพวงมาลัยง่ายขึ้น,ดอกยางสึกเร็วกว่าปกติ,สิ้นเปลืองน้ำมันเพาเวอร์,สิ้นเปลืองน้ำมันเชื้อเพลิง,-,2
การหยุดรถอย่างกะทันหัน(รถไม่ใช้เบรก ABS) กวรปฏิบัติอย่างไร,เหยียบเบรกแรงๆโดยไม่ต้องถอนเบรก,เหยียบคลัทช์ก่อน แล้วจึงเหยียบเบรก,เหยียบเบรกและคลัทช์พร้อมกัน,เหยียบและปล่อยเบรกสลับกัน (ย้ำเบรกช้ำ),-,4
รถที่ขับมาด้วยความร็วสูงแล้วเหยียบเบรกอย่างกะทันหัน (รถไม่ใช้เบรก ABS) จะมีผลอย่างไร,จะหยุดรถได้ตามระยะที่กำหนด,ล้อจะล็อค และรถจะหมุน,รถจะค่อยๆ ชะลอความเร็วลง,ล้อจะล็อค และรถจะหยุดทันที,-,2
ขณะขับรถยางรถแตกจะมีอาการอย่างไร,พวงมาลัยรถจะไร้น้ำหนัก,พวงมาลัยจะหนัก รถจะเอียง,รถหยุดกะทันหัน,เบรกจะไม่ทำงาน,-,2
ในขณะขับรถยางรถแตกหรือระเบิดผู้ขับขี่ควรปฏิบัติอย่างไร,คุมสติบังดับพวงมาลัยลดความร็วลงและ ไม่ควรเหยียบเบรกกะทันหัน,รีบเหยียบเบรกให้เร็วที่สุด,หมุนพวงมาลัยอย่างรวดเร็วเพื่อหลบเข้าข้างทาง,ปลดเกียร์ว่างแล้วรีบเหยียบเบรก,-,1
ในขณะที่กำลังขับรถถ้าฝากระโปรงหน้ารถปิดผู้ขับขี่ควรปฏิบัติอย่างไร,ลดความเร็วแล้วจอดข้างทางเพื่อปีดฝากระโปรง ให้เรียบร้อย,หักเลี้ยวรถเข้าข้างทางทันทีเพื่อปิดฝากระโปรง ให้เรียบร้อย,เบรกกะทันหัน,เหยียบคันเร่งให้มิดเพื่อฝากระโปรงจะได้กระแทกปิด,-,1
ข้อใดเป็นวิธีแก้ไขเบื้องต้นเมื่อรถเกิดไฟลัดวงจร,หาผ้าหนา ๆ มาตบ,ตัดกระแสไฟหรือหาทางงัดขั้วแบตเตอรี่ออกก่อน,วิ่งหาน้ำมันมาราด,ใช้ทรายสาดใส่,-,2
การตรวจสอบว่าเข็มขัดนิรภัยยังใช้งานได้ดีหรือไม่ควรตรวจสอบอย่างไร,กระตุกดึงสายเข็มขัดอย่างเร็วแล้วสายเข็มขัดต้องล็อค,ดูว่าเป็นของใหม่หรือไม่,ดูว่าเข็มขัดมียี่ห้อหรือไม่,ต้องมีสีเข้มๆ,-,1
ถ้ารถเสียหลักลื่นไถลพร้อมเสียการทรงตัว ควรปฏิบัติอย่างไรเป็นลำดับแรก,รีบเข้าเกียร์ต่ำเพื่อชะลอความเร็ว,ค่อยๆ เหยียบแป้นคลัทช์,หมุนพวงมาลัยไปซ้ายบ้าง ขวาบ้าง,ลดความเร็วจับพวงมาลัยให้มั่น,-,4
การจอดรถชิดขอบทางล้อหน้าควรอยู่ในลักษณะใด,หันเข้าหาขอบทาง,อยู่อย่างไรก็ได้,ตรงและขนานกับขอบทางหรือฟุตบาต,หันออกจากขอบทาง,-,3
การเข้าเกียร์ถอยหลังขณะรถยังไม่หยุดนิ่งมีผลเสียอย่างไร,ไม่มีผลต่อส่วนใดของรถ,เข้าเกียร์ยากและทำให้เกียร์เสียเร็วกว่าปกติ,ทำให้น้ำมันเกียร์หมดเร็ว,เครื่องยนต์กินน้ำมันเครื่อง,-,2
การขับรถถอยหลังควรใช้ความเร็วระดับใด,ถอยช้าๆ แล้วใช้ความระมัดระวัง,ถอยแบบไหนก็ได้,ถอยเหมือนกับเดินหน้า,ใช้ความเร็วตามสภาพของรถ,-,1
ข้อใดเป็นการสตาร์ทเครื่องยนต์ที่ถูกต้อง,ขึ้นเบรกมือ-ปลดเกียร์ว่าง-ปิดอุปกรณ์ไฟฟ้า- เหยียบกลัทช์-สตาร์ทเครื่องยนต์,ปลดเกียร์ว่าง-ขึ้นเบรกมือ-สตาร์ทเครื่องยนต์,เหยียบคลัทช์-สตาร์ทเครื่องยนต์,ปลดเบรกมือ-ปิดอุปกรณ์ไฟฟ้า-สตาร์ทเครื่องยนต์,-,1
จากรูป หากท่านต้องการที่จะขับตรงผ่านไป ท่านควรระมัดระวังและปฏิบัติอย่างไร,ลดความเร็วและเพิ่มความระมัดระวังทุกครั้ง ก่อนถึงทางแยก,ระวังรถด้านซ้ายเพราะอยู่ใกล้ช่องทางของเรา,ระวังรถทางขวาเพียงอย่างเดียว และขับต่อไป,ขับด้วยความเร็วเท่าเดิม,Data825,1
จากรูป หากท่านต้องการที่จะขับตรงผ่านไป ท่านควรระมัดระวังและปฏิบัติอย่างไร,ชะลอรถและให้รถทางขวามือขับผ่านไปก่อน,ขับรถต่อไปได้เลยเพราะเราคือทางเอก,ขับด้วยความเร็วเท่าเดิม,เร่งเครื่องยนต์เพื่อขับผ่านไปก่อน,Data826,1
จากรูป หากท่านต้องการที่จะขับตรงผ่านไป ท่านควรระมัดระวังและปฏิบัติอย่างไร,หยุดรถให้ห่างเพื่อความปลอดภัย,ขับไปในช่องทางขวาเพื่อเลี้ยวได้เลย,เลี้ยวพร้อมกับรถกันหน้าได้ทันที,ชะลอรถเนื่องจากรถกันหน้าจะเลี้ยวซ้าย,Data827,4
จากรูป หากท่านต้องการที่จะขับตรงผ่านไป ท่านควรระมัดระวังและปฏิบัติอย่างไร,ลดความเร็ว และระมัดระวังรถด้านซ้าย รวมทั้งคนเดิมข้ามถนน,เลี้ยวซ้ายได้ทันที,เร่งความเร็วเพื่อให้สามารถเลี้ยวได้เร็ว,บีบแตรก่อนทำการเลี้ยวรถ,Data828,1
จากรูป หากท่านต้องการที่จะขับตรงผ่านไป ท่านควรระมัดระวังและปฏิบัติอย่างไร,ขับตามรถคันหน้าให้ชิดและทำการเลี้ยวทันที,เปิดสัญญาณไฟเลี้ยว ชะลอรถ หยุดให้คนเดินถนนข้ามทางก่อน,บีบแตรเพื่อให้คนเดินข้ามถนนด้วยความรวดเร็ว,เปิดสัญญาณไฟฉุกเฉินเพื่อเตือนรถด้านหลัง,Data829,2
จากรูป รถคันใดอยู่ในจุดบอดของรถคันสีขาว,รถ ค.,รถ ก. และ รถ ข.,รถ ข. และ รถค.,รถ ก. และ รถ ค.,Data830,1
