Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ให้ขับรถช้าลงเเละระมัดระวังคนงานกำลังทำงาน อาจมีวัสดุอุปกรณ์วางบนผิวจราจร,ให้ขับรถช้าลงเเละระมัดระวังคนงานกำลังสำรวจทาง,ให้ขับรถช้าลงเเละระมัดระวังเครื่องจักรกำลังทำงาน,ให้ขับรถช้าลงเเละระมัดระวังคนงานกำลังสำรวจ สิ่งก่อสร้าง,Data51,1
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถอย่างรวดเร็วเพิ่มความระมัดระวัง ทางข้างหน้ามีสะพานเเคบ,ขับรถให้ช้าลงเพิ่มความระมัดระวัง ทางข้างหน้าเป็นทางลงลาดชัน,ขับรถอย่างรวดเร็วเพิ่มความระมัดระวัง ทางข้างหน้าเป็นทางขึ้นลาดชั้น,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวัง ทางข้างหน้าต้องใช้ทางเบี่ยงด้านซ้าย,Data52,4
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ให้ขับรถด้วยความเร็วเพื่อเข้าโค้งจะได้ ไม่เสียการทรงตัว,ให้ขับรถช้าลงทางข้างหน้าเป็นทางโค้งไปทางซ้าย,ให้ขับรถช้าลงเเละให้ขับรถชิดด้านซ้าย ด้วยความระมัดระวัง,ขับรถให้ช้าลงทางข้างหน้าเป็นทางโค้ง รัศมีเเคบไปทางขวา,Data53,4
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวัง ทางข้างหน้ามีทางโทเเยกไปทางซ้าย,ให้ขับรถด้วยความระมัดระวังทางข้างหน้าเป็น ทางโทตัดกับทางโทรูปตัวที,ให้ขับรถด้วยความระมัดระวังทางข้างหน้าเป็น ทางเอกตัดกันรูปตัวที,ให้ขับรถด้วยความระมัดระวังทางข้างหน้าเป็น ทางเอกตัดกันรูปตัววาย (Y),Data54,1
เครื่องหมายนี้  หมายความว่าอย่างไร,ทางเอกตัดกันรูปตัววาย,ทางเอกตัดกันรูปตัวที,ทางเอกตัดทางโทรูปตัววาย,ทางโทเเยกทางเอกเยื้องกัน เริ่มซ้าย,Data55,4
เครื่องหมายนี้  หมายความว่าอย่างไร,ทางเอกตัดกันรูปตัววาย,ทางโทตัดกันรูปตัวที,ทางโทเชื่อมทางเอกจากซ้าย,ทางเอกตัดกันรูปตัวที,Data56,3
เครื่องหมายนี้  หมายความว่าอย่างไร,ทางเอกเเยกทางเอกจากซ้าย รูปตัววาย,ทางโทเเยกทางเอกจากซ้าย รูปตัววาย,ทางโทเเยกทางโทจากซ้าย รูปตัววาย,ทางโทเเยกทางเอกจากขวา รูปตัววาย,Data57,2
เครื่องหมายนี้  หมายความว่าอย่างไร,ทางข้างหน้าจะเป็นทางเเยก มีวงเวียน,ทางข้างหน้าเป็นทางเเยก,ทางข้างหน้าเป็นทางเเคบลง,ทางข้างหน้ามีทางเอกตัดกัน,Data58,1
เครื่องหมายนี้  หมายความว่าอย่างไร,ทางเเคบลงด้านขวา,ทางโค้งซ้าย,ทางเเคบลงด้านซ้าย,ทางข้างหน้าเเคบลงกว่าทางที่กำลังผ่านทั้งสองด้าน,Data59,4
เครื่องหมายนี้  หมายความว่าอย่างไร,ทางเเคบด้านขวา,ทางเเคบลงทั้งสองด้าน,ทางเเคบลงด้านซ้าย,ทางกว้างขึ้นทั้งสองด้าน,Data510,1
